Timing is on.
Timing is on.
pg_stat_statements_reset

Time: 0.678 ms
c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,sum
Customer#001287812,1287812,42290181,1997-11-26,558289.17,318.00
Customer#001172513,1172513,36667107,1997-06-06,550142.18,322.00
Customer#000571654,571654,21213895,1992-01-03,549380.08,327.00
Customer#000667882,667882,2199712,1996-09-30,542154.01,327.00
Customer#001471966,1471966,1263015,1997-02-02,540476.80,320.00
Customer#001101754,1101754,46794464,1992-04-28,532623.90,320.00
Customer#000591466,591466,55799200,1996-02-11,524209.45,327.00
Customer#001196317,1196317,34509573,1995-10-15,522897.01,318.00
Customer#000634048,634048,36327201,1992-04-25,519634.30,315.00
Customer#001308376,1308376,28077922,1996-10-27,518711.99,319.00
Customer#000008782,8782,29294434,1993-01-05,518140.85,322.00
Customer#000061768,61768,46486080,1997-05-02,517881.34,314.00
Customer#001232356,1232356,52340710,1993-01-01,512292.83,320.00
Customer#000287270,287270,37531878,1997-03-20,512044.58,315.00
Customer#001247930,1247930,59138305,1993-10-31,509372.97,321.00
Customer#000357649,357649,51184261,1998-07-05,508562.74,315.00
Customer#000998485,998485,51532000,1992-10-27,506996.90,319.00
Customer#001179178,1179178,2869152,1996-06-20,505142.88,317.00
Customer#000942725,942725,48881602,1993-09-19,504197.89,327.00
Customer#000212452,212452,23245603,1994-11-22,504070.63,321.00
Customer#000266747,266747,41274690,1992-08-10,503260.49,317.00
Customer#000896006,896006,24923202,1993-10-04,503198.09,316.00
Customer#001000024,1000024,59057792,1993-12-30,500422.55,314.00
Customer#000655072,655072,46777222,1993-06-27,499565.93,314.00
Customer#000242576,242576,43438883,1992-11-27,496298.09,314.00
Customer#000166589,166589,46685344,1993-12-14,496075.11,327.00
Customer#000324296,324296,26465922,1996-11-04,493279.72,331.00
Customer#001106326,1106326,23906277,1997-03-20,492526.67,314.00
Customer#001081807,1081807,8075589,1996-08-23,492479.61,316.00
Customer#000303352,303352,25243237,1996-06-30,488918.55,315.00
Customer#000389473,389473,21135524,1992-11-22,487245.56,320.00
Customer#001151815,1151815,55722822,1995-08-24,485654.49,316.00
Customer#000372146,372146,48300454,1992-11-30,484962.56,318.00
Customer#000225562,225562,39492870,1995-08-12,484782.87,317.00
Customer#000109402,109402,10612710,1995-02-05,484659.70,319.00
Customer#000604861,604861,45897379,1994-05-30,481442.14,318.00
Customer#000778949,778949,40876003,1992-05-10,481422.24,314.00
Customer#000347839,347839,53623108,1995-05-07,481251.56,316.00
Customer#001350514,1350514,43245189,1994-11-29,480988.72,320.00
Customer#000385024,385024,41068385,1994-09-13,480697.48,313.00
Customer#000456290,456290,58000519,1996-01-17,480280.84,325.00
Customer#001076014,1076014,58919845,1995-07-21,478889.03,316.00
Customer#001379158,1379158,49474597,1992-03-06,478863.46,319.00
Customer#001115629,1115629,13165024,1992-06-29,477665.31,318.00
Customer#000598354,598354,56497062,1998-04-28,476882.56,320.00
Customer#001424164,1424164,48395044,1994-06-03,476439.88,316.00
Customer#000008846,8846,39702437,1995-11-23,475436.36,321.00
Customer#000126200,126200,23861472,1997-10-30,472802.59,314.00
Customer#001075219,1075219,44143908,1992-02-24,472296.80,325.00
Customer#001308241,1308241,26977863,1997-06-22,471678.74,313.00
Customer#000156190,156190,3767271,1996-08-07,471132.45,318.00
Customer#000087946,87946,10805828,1997-07-29,469150.80,316.00
Customer#001073371,1073371,40356833,1998-04-29,467532.60,315.00
Customer#001209827,1209827,12314084,1994-05-16,467104.78,325.00
Customer#001146131,1146131,20662370,1992-07-22,466829.08,315.00
Customer#001268641,1268641,4702759,1994-11-07,466780.36,320.00
Customer#000366184,366184,4806726,1995-01-17,466287.90,328.00
Customer#000179852,179852,51063047,1993-10-18,464012.77,314.00
Customer#000482590,482590,20649506,1995-06-20,460749.05,313.00
Customer#001345828,1345828,18449123,1993-09-30,459746.60,313.00
Customer#000317285,317285,44178691,1998-01-24,459635.14,316.00
Customer#000773062,773062,38914978,1996-05-28,458849.50,324.00
Customer#000432704,432704,42262528,1997-01-19,456098.86,313.00
Customer#001380298,1380298,13837220,1994-09-07,454998.75,316.00
Customer#001168256,1168256,41277440,1997-02-19,454849.65,314.00
Customer#000952849,952849,40944001,1993-12-15,454781.75,319.00
Customer#000109817,109817,10408580,1994-09-03,454420.76,320.00
Customer#000064357,64357,7235014,1998-03-09,454343.05,323.00
Customer#001140475,1140475,29122912,1996-05-08,453750.44,323.00
Customer#000523666,523666,32393895,1993-08-09,453417.44,316.00
Customer#000106120,106120,44257860,1992-12-05,452781.98,313.00
Customer#001281199,1281199,4722021,1994-04-07,452129.83,323.00
Customer#000353261,353261,22017989,1996-06-17,452128.50,318.00
Customer#000631198,631198,12378086,1995-03-13,447447.22,320.00
Customer#000665395,665395,7810823,1998-01-05,447000.47,324.00
Customer#001187939,1187939,34937604,1995-01-26,446503.03,315.00
Customer#000181624,181624,17457767,1993-06-05,445836.21,316.00
